"test_id","user_id","assignment"
4,1588.0,1
4,1650.0,1
4,1747.0,1
4,1764.0,1
4,1829.0,1
4,1842.0,1
4,1903.0,1
4,1934.0,1
4,1951.0,1
4,1996.0,1
4,2107.0,1
4,2114.0,1
4,2160.0,1
4,2172.0,1
4,2201.0,1
4,2222.0,1
4,2273.0,1
4,2300.0,1
4,2337.0,1
4,2428.0,1
4,2500.0,1
4,2612.0,1
4,2649.0,1
4,2760.0,1
4,2775.0,1
4,2791.0,1
4,2816.0,1
4,2828.0,1
4,2849.0,1
4,2852.0,1
4,2921.0,1
4,2973.0,1
4,2984.0,1
4,3015.0,1
4,3042.0,1
4,3051.0,1
4,3083.0,1
4,3109.0,1
4,3112.0,1
4,3119.0,1
4,3131.0,1
4,3136.0,1
4,3164.0,1
4,3238.0,1
4,3261.0,1
4,3264.0,1
4,3292.0,1
4,3343.0,1
4,3355.0,1
4,3395.0,1
4,3403.0,1
4,3406.0,1
4,3435.0,1
4,3452.0,1
4,3472.0,1
4,3494.0,1
4,3497.0,1
4,3510.0,1
4,3557.0,1
4,3570.0,1
4,3588.0,1
4,3589.0,1
4,3614.0,1
4,3629.0,1
4,3635.0,1
4,3636.0,1
4,3644.0,1
4,3652.0,1
4,3674.0,1
4,3700.0,1
4,3729.0,1
4,3733.0,1
4,3792.0,1
4,3805.0,1
4,3852.0,1
4,3867.0,1
4,3900.0,1
4,3901.0,1
4,3905.0,1
4,3921.0,1
4,3956.0,1
4,3967.0,1
4,3975.0,1
4,3982.0,1
4,3990.0,1
4,4033.0,1
4,4071.0,1
4,4097.0,1
4,4119.0,1
4,4147.0,1
4,4167.0,1
4,4168.0,1
4,4192.0,1
4,4208.0,1
4,4259.0,1
4,4300.0,1
4,4313.0,1
4,4326.0,1
4,4369.0,1
4,4383.0,1
4,4385.0,1
4,4414.0,1
4,4453.0,1
4,4461.0,1
4,4495.0,1
4,4516.0,1
4,4530.0,1
4,4558.0,1
4,4565.0,1
4,4615.0,1
4,4626.0,1
4,4636.0,1
4,4645.0,1
4,4658.0,1
4,4689.0,1
4,4695.0,1
4,4724.0,1
4,4741.0,1
4,4763.0,1
4,4840.0,1
4,4845.0,1
4,4858.0,1
4,4936.0,1
4,5007.0,1
4,5019.0,1
4,5044.0,1
4,5050.0,1
4,5059.0,1
4,5103.0,1
4,5117.0,1
4,5161.0,1
4,5232.0,1
4,5293.0,1
4,5363.0,1
4,5371.0,1
4,5372.0,1
4,5375.0,1
4,5407.0,1
4,5468.0,1
4,5501.0,1
4,5510.0,1
4,5513.0,1
4,5536.0,1
4,5621.0,1
4,5639.0,1
4,5737.0,1
4,5756.0,1
4,5766.0,1
4,5789.0,1
4,5796.0,1
4,5813.0,1
4,5847.0,1
4,5862.0,1
4,5866.0,1
4,5894.0,1
4,5922.0,1
4,5951.0,1
4,5963.0,1
4,6010.0,1
4,6043.0,1
4,6051.0,1
4,6058.0,1
4,6078.0,1
4,6105.0,1
4,6111.0,1
4,6118.0,1
4,6126.0,1
4,6139.0,1
4,6149.0,1
4,6183.0,1
4,6192.0,1
4,6199.0,1
4,6233.0,1
4,6236.0,1
4,6250.0,1
4,6330.0,1
4,6349.0,1
4,6368.0,1
4,6380.0,1
4,6423.0,1
4,6452.0,1
4,6457.0,1
4,6474.0,1
4,6617.0,1
4,6691.0,1
4,6692.0,1
4,6733.0,1
4,6766.0,1
4,6782.0,1
4,6802.0,1
4,6895.0,1
4,6934.0,1
4,6937.0,1
4,6954.0,1
4,6966.0,1
4,7038.0,1
4,7086.0,1
4,7107.0,1
4,7109.0,1
4,7136.0,1
4,7148.0,1
4,7175.0,1
4,7198.0,1
4,7228.0,1
4,7282.0,1
4,7360.0,1
4,7367.0,1
4,7384.0,1
4,7421.0,1
4,7449.0,1
4,7463.0,1
4,7485.0,1
4,7554.0,1
4,7569.0,1
4,7574.0,1
4,7607.0,1
4,7625.0,1
4,7636.0,1
4,7644.0,1
4,7687.0,1
4,7699.0,1
4,7724.0,1
4,7759.0,1
4,7780.0,1
4,7791.0,1
4,7800.0,1
4,7909.0,1
4,7926.0,1
4,7942.0,1
4,7961.0,1
4,7987.0,1
4,8027.0,1
4,8047.0,1
4,8048.0,1
4,8059.0,1
4,8123.0,1
4,8146.0,1
4,8148.0,1
4,8189.0,1
4,8200.0,1
4,8215.0,1
4,8240.0,1
4,8314.0,1
4,8341.0,1
4,8345.0,1
4,8352.0,1
4,8385.0,1
4,8397.0,1
4,8415.0,1
4,8445.0,1
4,8492.0,1
4,8507.0,1
4,8526.0,1
4,8545.0,1
4,8569.0,1
4,8598.0,1
4,8602.0,1
4,8610.0,1
4,8630.0,1
4,8641.0,1
4,8653.0,1
4,8686.0,1
4,8727.0,1
4,8736.0,1
4,8761.0,1
4,8798.0,1
4,8810.0,1
4,8893.0,1
4,8899.0,1
4,8901.0,1
4,8907.0,1
4,8914.0,1
4,8951.0,1
4,8962.0,1
4,8969.0,1
4,8974.0,1
4,8976.0,1
4,8997.0,1
4,8998.0,1
4,9038.0,1
4,9089.0,1
4,9098.0,1
4,9107.0,1
4,9130.0,1
4,9206.0,1
4,9233.0,1
4,9241.0,1
4,9249.0,1
4,9257.0,1
4,9258.0,1
4,9269.0,1
4,9276.0,1
4,9301.0,1
4,9314.0,1
4,9331.0,1
4,9364.0,1
4,9386.0,1
4,9418.0,1
4,9503.0,1
4,9543.0,1
4,9552.0,1
4,9570.0,1
4,9575.0,1
4,9580.0,1
4,9614.0,1
4,9677.0,1
4,9734.0,1
4,9753.0,1
4,9761.0,1
4,9786.0,1
4,9795.0,1
4,9805.0,1
4,9823.0,1
4,9905.0,1
4,9912.0,1
4,10004.0,1
4,10015.0,1
